Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3203,1,17,1,9773,1,1,0,1,3,3,2,3,1,1,0,0,1,1,0,0,0,0,2,3,1,0,0,0,2,3,1,1,0,2,0,2,0
131,1,17,2,9070,1,1,1,1,37,37,9,9,1,1,0,0,1,0,0,0,0,0,1,1,2,2,0,0,1,1,2,2,0,0,2,1,2
2581,1,39,1,9003,1,1,1,1,38,38,4,7,0,1,0,0,0,0,0,3,0,0,2,2,0,0,0,0,2,2,0,0,0,3,3,0,0
538,1,44,1,9003,1,39,2,1,19,38,3,9,3,1,0,0,1,1,0,2,0,0,1,1,2,2,0,0,1,1,2,2,0,2,1,2,2
4277,1,17,1,9119,1,1,0,1,19,37,90,5,0,1,0,0,1,1,0,2,0,0,1,3,1,0,0,0,1,2,1,3,3,0,2,1,0
3972,1,39,1,9991,0,1,0,1,37,37,9,9,0,0,0,0,1,0,0,3,0,0,1,2,1,0,0,0,1,1,2,1,0,0,2,1,2
1423,1,1,1,9254,1,1,1,1,38,38,6,6,1,1,0,0,1,0,0,0,0,0,2,1,2,0,0,0,2,1,2,1,0,0,2,1,2
477,1,7,1,9500,1,3,2,1,34,34,0,0,3,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,1,0
3641,1,1,2,9254,1,1,0,1,37,37,6,6,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,3,0
4120,1,17,5,9500,1,1,3,1,19,1,5,3,3,1,0,0,1,0,1,0,0,0,3,2,3,2,0,0,3,2,3,2,0,2,3,0,2
2060,1,17,6,9500,1,1,1,1,19,37,3,9,1,1,0,0,1,0,1,0,0,0,3,1,3,2,0,0,3,2,3,3,0,3,0,1,2
4241,1,1,3,9500,1,1,2,1,37,37,9,9,3,1,0,1,0,0,0,0,0,0,3,2,3,2,0,0,3,2,3,2,0,1,1,2,0
1920,1,44,1,9085,1,39,2,1,1,1,3,7,3,1,0,0,1,0,0,1,0,1,2,3,2,3,0,0,2,3,1,3,0,2,0,2,1
1724,1,1,1,171,1,1,3,1,19,19,3,10,3,1,0,0,1,0,0,2,0,3,3,3,3,1,0,3,3,3,3,2,0,1,1,3,2
